portfolio,code,cost,num,agent
cash,cash01,352841.51700000005,0,gtja
advance,profit,5869.701249999997,0,gtja
cash,cash01,592416.0225000003,0,pingan
original,profit,-96582.6745,0,pingan
5G,profit,11300.983999999982,0,pingan
anke,profit,4001.307999999986,0,pingan
redian,profit,-125.55600000000764,0,pingan
up_overlap_up,profit,0.0,0,pingan
original,profit,78.0,0,cf
simmer,profit,0.0,0,pingan
home_run,profit,0.0,0,pingan
growth,profit,2531.089999999971,0,pingan
advance,110030,62846.128,600,gtja
advance,519898,143231.305,142975,gtja
ecar,profit,-65.82700000001182,0,pingan
soft,profit,336.1099999999897,0,pingan
phone,profit,-442.0124999999971,0,pingan
original,300408,20182.765,1000,pingan
